# wavelength_A flux_1e-17 err_1e-17
3822.9629 29.710972 3.5749829
3823.8423 29.919502 3.5673261
3824.7241 31.141859 3.5425482
3825.604 31.186901 3.4927804
3826.4841 27.52619 3.3905835
3827.3665 27.231155 3.3928747
3828.2468 39.612217 3.6209068
3829.1296 33.56926 3.5396643
3830.0105 30.756384 3.4747055
3830.8938 30.229679 3.4723144
3831.7751 35.448101 3.558234
3832.6565 37.625542 3.5490134
3833.5403 28.925905 3.4407561
3834.4224 26.930183 3.4076166
3835.3064 39.11039 3.6471
3836.1887 35.110764 4.5833321
3837.0735 34.480286 4.5457597
3837.9561 30.873178 3.6728377
3838.8391 31.206718 3.2964098
3839.7244 31.573757 3.174777
3840.6077 30.932697 3.1785402
3841.4932 34.786243 3.2890568
3842.377 36.261166 3.3734496
3843.2629 30.253504 3.3549228
3844.1472 25.588474 3.2878692
3845.0315 26.631922 3.2971768
3845.9182 25.395512 3.1775897
3846.803 24.602819 3.0617034
3847.6899 31.522152 3.170099
3848.5752 31.44865 3.1901166
3849.4626 25.499731 3.0521109
3850.3481 25.422396 3.0480182
3851.2339 27.515736 3.1173768
3852.1221 26.993305 3.1672738
3853.0083 25.471163 3.1302571
3853.8967 24.438471 3.0578704
3854.7832 36.959148 3.2511036
3855.6721 30.736687 3.0757527
3856.5591 31.286921 2.9832122
3857.4463 25.9776 2.9095628
3858.3359 29.561922 2.9039109
3859.2234 31.808809 2.9290121
3860.1135 30.792458 2.9199083
3861.0015 30.891123 2.9403403
3861.8918 28.29921 2.8967192
3862.7803 27.608582 2.9043527
3863.6687 26.075026 2.871062
3864.5598 29.003668 2.9071069
3865.4487 30.330498 2.8793027
3866.3401 30.472687 2.8229642
3867.2297 32.284546 2.8465228
3868.1213 32.61845 2.8226445
3869.0112 30.377495 2.7738123
3869.9014 28.176437 2.7289112
3870.7937 28.907188 2.7808967
3871.6841 32.430939 2.8690531
3872.5769 33.274632 2.9534867
3873.4678 31.436878 2.9188728
3874.3611 30.126421 2.8939784
3875.2524 29.860294 2.8722279
3876.1438 28.176065 2.7866919
3877.0376 30.624714 2.8376486
3877.9297 34.35014 2.8669205
3878.8237 30.856243 2.8099298
3879.7161 25.07592 2.7141395
3880.6108 28.069855 2.7507827
3881.5037 29.826954 2.8021703
3882.3965 34.395267 2.8879561
3883.2917 33.203094 2.8543162
3884.1851 26.928852 2.6599038
3885.0808 26.282162 2.6986375
3885.9746 30.590626 2.7571673
3886.8706 31.651617 2.7736728
3887.7649 29.157051 2.7211523
3888.6592 29.272104 2.6718233
3889.5559 29.800714 2.6542284
3890.4507 26.404661 2.536521
3891.3479 26.96553 2.5808604
3892.2429 30.118874 2.6269312
3893.1406 30.064264 2.6359222
3894.0361 31.977587 2.6760845
3894.9341 30.771162 2.6861963
3895.8301 26.389393 2.6051927
3896.7263 29.365141 2.7022541
3897.625 33.27034 2.7377598
3898.5215 26.013077 2.5914822
3899.4207 27.582481 2.5797019
3900.3176 26.502506 2.5271482
3901.217 30.217632 2.5582497
3902.1145 29.939859 2.6043854
3903.0122 26.837698 2.6095898
3903.9121 27.63707 2.608469
3904.8103 26.503273 2.6238017
3905.7107 28.152866 2.6758823
3906.6094 29.095627 2.7613826
3907.51 23.644804 2.6741743
3908.4089 26.636061 2.7121978
3909.3081 24.075665 2.6587875
3910.2097 26.265652 2.6567106
3911.1091 31.612019 2.7179208
3912.011 26.255129 2.5560758
3912.9111 24.616556 2.5347846
3913.8132 28.096931 2.6023674
3914.7136 27.651289 2.5926473
3915.6143 24.873768 2.5480173
3916.5171 24.254438 2.5427539
3917.4182 21.67276 2.4954562
3918.3215 24.749027 2.5479577
3919.2229 27.573626 2.6140625
3920.1267 34.579735 2.7407196
3921.0286 27.758284 2.6281495
3921.9307 26.688839 2.6126738
3922.835 27.191341 2.5768356
3923.7373 24.112814 2.5168946
3924.6421 21.112333 2.4363875
3925.5452 22.859772 2.453907
3926.4502 27.481047 2.4743714
3927.3535 25.731798 2.4782529
3928.2571 28.091972 2.4745414
3929.1628 19.755865 2.3157229
3930.0667 30.358183 2.5344858
3930.9731 31.272549 2.6843371
3931.8774 23.778021 3.0746419
3932.7839 24.273897 3.2088304
3933.6887 27.844124 2.6252332
3934.5938 26.434095 2.5219238
3935.501 25.654455 2.4425845
3936.4062 25.991762 2.3994656
3937.3142 25.762144 2.3680661
3938.22 25.589331 2.3448246
3939.1279 28.667839 2.3713565
3940.0342 27.210529 2.3308544
3940.9407 28.092257 2.3684306
3941.8494 31.483452 2.4311748
3942.7561 29.096701 2.3966818
3943.6653 25.756134 2.3439956
3944.5725 28.932384 2.3684709
3945.4822 29.289722 2.3806453
3946.3899 26.294704 2.3398416
3947.2979 23.019793 2.3272266
3948.208 26.667788 2.3901052
3949.1162 27.941961 2.4144926
3950.0269 26.538605 2.3618634
3950.9355 23.449963 2.2720447
3951.8467 23.326441 2.2334676
3952.7559 27.617792 2.2853789
3953.665 30.057114 2.5632219
3954.5769 27.954479 2.5095809
3955.4866 27.753607 2.4665449
3956.3987 23.21216 2.1341264
3957.3088 26.266834 2.2010398
3958.2214 23.579956 2.1484365
3959.1321 24.418648 2.1550829
3960.0449 25.19729 2.1608737
3960.9561 27.019863 2.1863151
3961.8672 27.62219 2.187561
3962.7808 26.177683 2.1424415
3963.6924 27.135605 2.1525283
3964.6064 27.590912 2.1610398
3965.5186 24.157181 2.0951469
3966.4329 28.142378 2.1937387
3967.3455 27.668001 2.1548436
3968.2581 25.063334 2.0698369
3969.1731 28.224138 2.1135654
3970.0862 27.445694 2.0858595
3971.0017 27.445997 2.1252456
3971.9153 28.221516 2.1323175
3972.8313 25.636927 2.1031959
3973.7451 27.654638 2.1261899
3974.6592 30.270967 2.1686795
3975.5759 30.153042 2.1778708
3976.4905 26.956207 2.1253374
3977.4075 28.361822 2.2074106
3978.3225 25.599091 2.157939
3979.2397 25.578121 2.1587009
3980.1553 27.56229 2.1844795
3981.0708 28.365389 2.1993461
3981.9888 27.465298 2.232307
3982.905 25.550264 2.2089226
3983.8232 27.299212 2.2706394
3984.7397 30.840473 2.3488817
3985.6587 23.359604 2.2249005
3986.5757 27.268332 2.3128853
3987.4927 23.705616 2.2337158
3988.4121 23.629305 2.2323465
3989.3298 24.363094 2.281713
3990.2498 24.845007 2.3404803
3991.1677 27.291565 2.4393783
3992.0879 27.997799 2.4825139
3993.0063 26.011597 2.4628491
3993.925 27.718969 2.4803989
3994.8459 22.506762 2.3498547
3995.7649 25.079727 2.3516572
3996.6863 25.509726 2.4280176
3997.6057 25.869371 2.4180064
3998.5276 28.162432 2.4646122
3999.4475 29.333246 2.434516
4000.3674 24.473137 2.2920966
4001.29 20.17996 2.1918914
4002.2104 25.184027 2.2358036
4003.1333 29.625542 2.2780137
