wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3822.963,29.710972,3.574983,29.725752,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3823.8423,29.919502,3.567326,29.73078,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3824.724,31.14186,3.5425482,29.703646,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3825.604,31.186901,3.4927804,29.658888,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3826.4841,27.52619,3.3905835,29.608112,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3827.3665,27.231155,3.3928747,29.593517,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3828.2468,39.612217,3.6209068,29.592274,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3829.1296,33.56926,3.5396643,29.530415,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3830.0105,30.756384,3.4747055,29.52213,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3830.8938,30.22968,3.4723144,29.425137,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3831.7751,35.4481,3.558234,29.324528,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3832.6565,37.62554,3.5490134,29.29581,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3833.5403,28.925905,3.440756,29.320578,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3834.4224,26.930183,3.4076166,29.320818,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3835.3064,39.11039,3.6471,29.285837,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3836.1887,35.110764,4.583332,29.302444,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3837.0735,34.480286,4.5457597,29.283812,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3837.956,30.873178,3.6728377,29.229439,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3838.839,31.206718,3.2964098,29.22433,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3839.7244,31.573757,3.174777,29.307001,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3840.6077,30.932697,3.1785402,29.32584,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3841.4932,34.786243,3.2890568,29.288422,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3842.377,36.261166,3.3734496,29.268377,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3843.263,30.253504,3.3549228,29.316269,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3844.1472,25.588474,3.2878692,29.378191,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3845.0315,26.631922,3.2971768,29.31048,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3845.9182,25.395512,3.1775897,29.109737,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3846.803,24.60282,3.0617034,29.015036,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3847.69,31.522152,3.170099,29.041763,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3848.5752,31.44865,3.1901166,29.071518,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3849.4626,25.499731,3.052111,29.072392,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3850.3481,25.422396,3.0480182,29.134655,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3851.234,27.515736,3.1173768,29.174068,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
