# wavelength_A donor_subtracted_flux_1e-17 err_1e-17
3805.397 7.611639 7.662521
3806.273 7.607903 8.606588
3807.15 5.820804 8.127815
3808.026 -2.448108 7.67663
3808.904 7.605248 8.087586
3809.78 12.08716 7.863563
3810.659 -0.03458539 5.568727
3811.536 6.532082 4.363807
3812.413 10.35697 4.227644
3813.292 2.888756 3.952339
3814.169 18.22095 3.911304
3815.048 9.355234 3.619052
3815.926 8.956238 3.373107
3816.806 9.230298 3.31828
3817.684 10.24863 3.214743
3818.562 11.88403 3.244813
3819.443 6.79648 3.14526
3820.322 5.999344 3.030735
3821.202 9.872017 3.181801
3822.081 12.83754 3.177143
3822.963 3.018339 3.072745
3823.842 9.443294 3.031246
3824.724 8.269513 3.047502
3825.604 6.248629 3.040186
3826.484 8.974264 3.096546
3827.367 5.479831 3.213942
3828.247 1.506094 3.496206
3829.13 8.670263 3.769211
3830.01 5.600999 3.832877
3830.894 5.857836 3.736527
3831.775 3.721811 3.541749
3832.657 9.494568 3.388893
3833.54 9.954907 3.373039
3834.422 6.884828 3.255649
3835.306 10.13283 3.315718
3836.189 11.07342 3.225434
3837.073 9.510508 3.190246
3837.956 11.77859 3.106261
3838.839 12.14985 3.06077
3839.724 7.176292 2.893939
3840.608 5.035745 2.904355
3841.493 3.182758 2.918239
3842.377 9.245692 2.985631
3843.263 10.62488 2.986604
3844.147 0.4656345 2.881063
3845.032 4.125366 2.93478
3845.918 10.95625 3.032844
3846.803 9.812547 3.058329
3847.69 5.508578 3.068146
3848.575 7.48108 3.108429
3849.463 2.222818 3.074374
3850.348 3.794458 3.071302
3851.234 7.901358 3.067305
3852.122 6.017941 3.000349
3853.008 3.562434 2.855252
3853.897 1.135557 2.728226
3854.783 4.458291 2.779785
3855.672 9.138658 2.774555
3856.559 11.99249 2.740731
3857.446 5.692882 2.64269
3858.336 6.640465 2.627501
3859.223 9.976122 2.67607
3860.113 6.612703 2.7487
3861.001 5.632399 2.891818
3861.892 8.144565 3.017278
3862.78 2.583527 2.962637
3863.669 7.636967 2.942999
3864.56 7.981953 2.8455
3865.449 8.833241 2.677069
3866.34 4.05969 2.476158
3867.23 2.897687 2.405079
3868.121 7.456902 2.553901
3869.011 7.910771 2.541329
3869.901 2.027549 2.474883
3870.794 1.255629 2.491988
3871.684 5.996984 2.590808
3872.577 0.5536354 2.524723
3873.468 3.981652 2.555272
3874.361 6.722119 2.52261
3875.252 5.812765 2.442962
3876.144 2.956168 2.354782
3877.038 1.881277 2.224443
3877.93 5.723262 2.325541
3878.824 10.43645 2.463976
3879.716 8.840723 2.475782
3880.611 -0.9939816 2.304228
3881.504 6.31333 2.394955
3882.396 6.345576 2.446185
3883.292 7.501195 2.403836
3884.185 9.228261 2.488496
3885.081 8.992194 2.456583
3885.975 8.092748 2.440191
3886.871 4.165219 2.353041
3887.765 1.920982 2.28623
3888.659 4.468972 2.340384
3889.556 12.99299 2.490108
3890.451 6.296452 2.469382
3891.348 4.855948 2.391571
3892.243 8.265524 2.496064
3893.141 5.76808 2.393576
3894.036 4.473212 2.332799
