# wavelength_A flux_1e-17 err_1e-17
3825.604 -0.23801184 0.58478588
3826.4841 -0.20262982 0.57885081
3827.3665 -0.63244677 0.56137079
3828.2468 -1.7681284 0.56281471
3829.1296 0.91412753 0.614842
3830.0105 -0.086152375 0.61197782
3830.8938 -1.7067995 0.55342162
3831.7751 -2.1578922 0.55646074
3832.6565 -0.3863501 0.59147584
3833.5403 0.96554452 0.60762805
3834.4224 0.90686905 0.62621719
3835.3064 0.87843817 0.62770611
3836.1887 0.21540274 0.60604411
3837.0735 -1.1591327 0.59706241
3837.9561 1.001361 0.6245591
3838.8391 0.97234929 0.62762231
3839.7244 0.4562757 0.61019319
3840.6077 -1.0078107 0.58322889
3841.4932 -1.0954057 0.6050368
3842.377 0.48348272 0.61202991
3843.2629 1.3626544 0.61975068
3844.1472 0.52326167 0.57160008
3845.0315 -0.9452064 0.52721006
3845.9182 -0.50739771 0.51713836
3846.803 -0.30592826 0.52420467
3847.6899 0.24848942 0.53908968
3848.5752 0.29059142 0.52221531
3849.4626 -0.37909135 0.51014489
3850.3481 -1.1965159 0.49676457
3851.2339 -1.3465332 0.51080471
3852.1221 -0.60183609 0.56941772
3853.0083 -0.11837389 0.58112431
3853.8967 -0.43358576 0.58539289
3854.7832 0.36973241 0.59271121
3855.6721 0.12892301 0.58933657
3856.5591 -0.60697454 0.60307366
3857.4463 0.10620484 0.62552822
3858.3359 0.4701381 0.58085543
3859.2234 -0.7863729 0.53573835
3860.1135 -0.56518281 0.53797686
3861.0015 -0.3007001 0.54108256
3861.8918 -0.75838029 0.5354768
3862.7803 -0.3476136 0.52762413
3863.6687 0.29291764 0.54385912
3864.5598 0.56821316 0.52636307
3865.4487 -0.15959385 0.50558114
3866.3401 -0.42507404 0.50147349
3867.2297 -0.005293068 0.53072804
3868.1213 -0.60867763 0.51146191
3869.0112 -0.89735907 0.52551812
3869.9014 -0.31372923 0.52951807
3870.7937 -0.11638981 0.52916908
3871.6841 -0.44402722 0.53033912
3872.5769 -0.32601619 0.51019919
3873.4678 -1.1606836 0.51092982
3874.3611 1.12872 0.54662132
3875.2524 0.31424183 0.54012597
3876.1438 -0.37797031 0.52284229
3877.0376 -0.16169783 0.4815008
3877.9297 -0.13200872 0.51713264
3878.8237 -0.60602099 0.47033474
3879.7161 -0.21896203 0.50854236
3880.6108 0.42931879 0.50486249
3881.5037 0.27869189 0.51863575
3882.3965 0.59940082 0.50296819
3883.2917 -0.29969507 0.49245307
3884.1851 0.65477753 0.50497478
3885.0808 1.1476052 0.51693094
3885.9746 0.5103637 0.49788639
3886.8706 0.32702282 0.49705482
3887.7649 -0.13689367 0.4639571
3888.6592 0.87085593 0.48921564
3889.5559 1.1266363 0.48714274
3890.4507 -0.54873002 0.46627146
3891.3479 -0.37735909 0.47274098
3892.2429 -0.83530229 0.46480262
3893.1406 -0.40800345 0.45482898
3894.0361 0.45567667 0.46941745
3894.9341 -0.28996992 0.4647055
3895.8301 -0.38949561 0.45495063
3896.7263 0.3576574 0.48105791
3897.625 -0.58058023 0.45140824
3898.5215 -1.7289977 0.42845434
3899.4207 -0.50801212 0.46845523
3900.3176 -0.11729413 0.4550288
3901.217 -1.3341777 0.45873702
3902.1145 0.76065063 0.48411337
3903.0122 -0.88645631 0.47207615
3903.9121 0.52187777 0.47515497
3904.8103 0.9024623 0.47569406
3905.7107 1.2094148 0.51787323
3906.6094 0.14781491 0.50796974
3907.51 -1.2243743 0.50802284
3908.4089 -1.2815627 0.48506734
3909.3081 -0.682226 0.50030285
3910.2097 0.93500996 0.50391382
3911.1091 -0.10413138 0.48787487
3912.011 0.54954773 0.49139488
3912.9111 0.25155059 0.48607904
3913.8132 -0.049643815 0.48509005
3914.7136 0.49404874 0.49259418
3915.6143 -0.27087006 0.50139648
3916.5171 -0.19767731 0.50552112
3917.4182 0.50700921 0.49289402
3918.3215 -0.56853253 0.48548895
3919.2229 0.051428366 0.49748918
3920.1267 0.82335621 0.5102663
3921.0286 0.49858749 0.49122706
3921.9307 -0.90348631 0.45099282
3922.835 -0.13310021 0.46403342
3923.7373 0.031482972 0.4482134
3924.6421 -0.36211565 0.45954812
3925.5452 -0.84018832 0.45802721
3926.4502 -0.25533524 0.47716025
3927.3535 0.33133844 0.48610917
3928.2571 -0.71589363 0.45692551
3929.1628 -0.84246618 0.45115614
3930.0667 0.17748617 0.44901466
3930.9731 -0.11280835 0.43585023
3931.8774 0.99041784 0.44149843
3932.7839 -0.1152862 0.42639163
3933.6887 -0.12145074 0.43008322
3934.5938 -0.62289482 0.41939116
3935.501 -0.48161414 0.41547969
3936.4062 0.69031906 0.42733943
3937.3142 0.2132366 0.42316377
3938.22 0.29189879 0.41398644
3939.1279 -0.27422979 0.41539517
3940.0342 -1.1325158 0.41410682
3940.9407 -1.3379149 0.42244679
3941.8494 -0.26686731 0.46247044
