wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3825.604,-0.23801184,0.5847859,0.1257835,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3826.4841,-0.20262982,0.5788508,0.12669615,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3827.3665,-0.63244677,0.5613708,0.13212171,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3828.2468,-1.7681284,0.5628147,0.12773363,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3829.1296,0.9141275,0.614842,0.12006571,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3830.0105,-0.086152375,0.6119778,0.12056276,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3830.8938,-1.7067995,0.5534216,0.124709494,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3831.7751,-2.1578922,0.55646074,0.118691914,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3832.6565,-0.3863501,0.59147584,0.095723785,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3833.5403,0.9655445,0.60762805,0.10201559,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3834.4224,0.90686905,0.6262172,0.11366796,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3835.3064,0.8784382,0.6277061,0.1049113,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3836.1887,0.21540274,0.6060441,0.10283399,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3837.0735,-1.1591327,0.5970624,0.1122278,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3837.956,1.001361,0.6245591,0.10444775,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3838.839,0.9723493,0.6276223,0.1090992,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3839.7244,0.4562757,0.6101932,0.11380184,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3840.6077,-1.0078107,0.5832289,0.106893055,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3841.4932,-1.0954057,0.6050368,0.107565105,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3842.377,0.48348272,0.6120299,0.100855336,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3843.263,1.3626544,0.6197507,0.10620119,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3844.1472,0.52326167,0.5716001,0.10773966,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
