source,line,rest_A,EW_A,EW_err,flux,flux_err,FWHM_kms,vshift_kms
J0005,Hbeta,4861.3,10.56,1.27,1.415e-15,1.576e-16,448,334
J0005,HeII4686,4685.7,2.62,1.19,3.398e-16,1.503e-16,730,135
J0005,Hgamma,4340.5,10.57,2.08,1.288e-15,2.385e-16,510,345
J0005,Hdelta,4101.7,2.39,1.40,3.994e-16,2.286e-16,400,335
J0005,HeI4471,4471.5,1.92,1.23,2.082e-16,1.300e-16,364,392
J0005,Halpha,6562.8,18.22,1.22,1.323e-15,7.838e-17,458,336
J0005,HeI6678,6678.2,2.26,0.97,1.171e-16,4.927e-17,206,382
J0005,HeI5876,5875.6,4.39,1.33,2.476e-16,6.948e-17,258,377
J0022,Hbeta,4861.3,54.70,1.31,4.301e-15,7.590e-17,886,478
J0022,HeII4686,4685.7,55.22,1.68,3.077e-15,6.394e-17,711,521
J0022,Hgamma,4340.5,62.67,1.91,4.302e-15,9.130e-17,939,515
J0022,Hdelta,4101.7,43.20,1.69,3.678e-15,1.031e-16,984,521
J0022,HeI4471,4471.5,15.33,1.07,8.831e-16,5.139e-17,1071,636
J0022,Halpha,6562.8,100.36,1.93,3.953e-15,4.693e-17,853,379
J0022,HeI6678,6678.2,11.93,0.80,4.137e-16,2.451e-17,1674,808
J0022,HeI5876,5875.6,8.64,0.54,5.417e-16,3.109e-17,1466,663
J0749,Hbeta,4861.3,11.71,0.75,1.336e-15,7.838e-17,650,46
J0749,HeII4686,4685.7,0.77,0.58,9.122e-17,6.798e-17,763,244
J0749,Hgamma,4340.5,7.80,0.89,1.006e-15,1.105e-16,991,165
J0749,Hdelta,4101.7,6.47,0.76,8.890e-16,9.797e-17,615,43
J0749,HeI4471,4471.5,1.29,0.53,1.600e-16,6.529e-17,594,158
J0749,Halpha,6562.8,15.84,1.02,8.985e-16,5.261e-17,646,36
J0749,HeI6678,6678.2,3.52,0.58,1.833e-16,2.922e-17,425,4
J0749,HeI5876,5875.6,4.38,0.50,3.214e-16,3.491e-17,1507,376
J0035,Hbeta,4861.3,32.69,3.34,4.373e+02,3.548e+01,848,214
J0035,HeII4686,4685.7,24.75,2.83,3.418e+02,3.076e+01,753,251
J0035,Hgamma,4340.5,28.55,2.86,5.420e+02,4.443e+01,866,243
J0035,Hdelta,4101.7,25.67,3.61,4.480e+02,4.745e+01,872,186
J0035,HeI4471,4471.5,6.53,1.90,1.136e+02,3.034e+01,0,238
J0035,Halpha,6562.8,46.28,2.59,6.532e+02,2.908e+01,833,195
J0035,HeI6678,6678.2,5.83,1.03,8.761e+01,1.462e+01,296,289
J0035,HeI5876,5875.6,12.46,3.29,1.567e+02,3.727e+01,582,150
